date,time,game,player,player_id,on_team,slur,anti_black,antisemitic,facist,chat_notes,system_notes
2026-04-05,20:51,cs2,"Famo",76561199031245245,1,1,1,,,"called me a monkey over audio chat when I was not using voice effects to mask distinct ethnic undertones","'status' command did not output this user's name and pc crashed with black screen stating 'your device ran into a problem and needs to restart' while logging this game and updating the database"
2026-04-05,20:51,cs2,"Bebe",,,,,,,,
2026-04-05,20:51,cs2,"eagle 🦅",,,,,,,,
2026-04-05,20:51,cs2,"✞ Ðad",,,,,,,,
2026-04-05,20:51,cs2,"Pheanx",,,,,,,,
2026-04-05,20:51,cs2,"leonxHunter",,,,,,,,
2026-04-05,20:51,cs2,"Sabenrec",,,,,,,,
2026-04-05,20:51,cs2,"THEBICBOY",,,,,,,,
2026-04-05,20:51,cs2,"Cpt Boomer",,,,,,,,
,,,,,,,,,,,
2026-04-06,01:29,cs2,"Bill Bingus",,,,,,,,
2026-04-06,01:29,cs2,"Samsung 26.7. Refrigerator",,,,,,,,
2026-04-06,01:29,cs2,"Tank",,,,,,,,
2026-04-06,01:29,cs2,"v",76561199328536908,0,0,,1,1,"talk about raping and burning Jews with teamate '777'","unable to download game"
2026-04-06,01:29,cs2,"kusemak",,,,,,,,
2026-04-06,01:29,cs2,"Ceej",,,,,,,,
2026-04-06,01:29,cs2,"777",,,,,,,"cited by teamate 'v' to raping and burning jews",
2026-04-06,01:29,cs2,"G O D I E",,,,,,,,
2026-04-06,01:29,cs2,"Ducksauc3",,,,,,,,
,,,,,,,,,,,
2026-04-06,03:37,cs2,"Duck",,,,,,,,
2026-04-06,03:37,cs2,"The Nutler",,,,,,,,
2026-04-06,03:37,cs2,"Liquor Snurf",,,,,,,,
2026-04-06,03:37,cs2,"flamemade",,,,,,,,
2026-04-06,03:37,cs2,"ŘiotPoody",76561198261967597,0,1,,,,,
2026-04-06,03:37,cs2,"w0wzeez",74563193132985892,1,1,3,,,"verbally attacking only myself from the beginning of the game unprovoked and then singing rap lyrics containing the term 'nigga' and modifying them to use 'nigger'",
2026-04-06,03:37,cs2,"brick",76561199783680537,1,2,2,,,"verbally attacking only myself from the beginning of the game unprovoked",
2026-04-06,03:37,cs2,"jelly",76561197962009005,1,,,,,"repeating my own comedic statement in reference to myself coincidentally 5 or 6 times in a rowmade in prior matches verbatim and engaging with rest of team while other teamates use racist taunts",
2026-04-06,03:37,cs2,"Despicable G",,,,,,,,
,,,,,,,,,,,
2026-04-06,19:07,cs2,"ZombieJJayden",,,,,,,,
2026-04-06,19:07,cs2,"JAirways",,,,,,,,
2026-04-06,19:07,cs2,"Dequavius Pork",,0,,1,,,,
2026-04-06,19:07,cs2,"cow",,,,,,,,
2026-04-06,19:07,cs2,"boris",,,,1,,,,
2026-04-06,19:07,cs2,"AnimatedNewt",,,,,,,,
2026-04-06,19:07,cs2,"bad crocodile",,,,,,,,
2026-04-06,19:07,cs2,"yky",,,,,,,,
2026-04-06,19:07,cs2,"nuts from berk",76561199833812263,1,2,2,,,,
,,,,,,,,,,,
2026-04-06,21:29,cs2,"TheNiggler",chyraq99,1,1,1,1,1,"name is racist slur which caused team to try to kick him and player's profile picture has a black man with the iconic fascist moustache",
2026-04-06,21:29,cs2,"Bluedot",,,,,,,,
2026-04-06,21:29,cs2,"Meme Machine",,,,,,,,
2026-04-06,21:29,cs2,"nubloid",,,,,,,,
2026-04-06,21:29,cs2,"K🅐Y🅐",,,,,,,,
2026-04-06,21:29,cs2,"moek00",,,,,,,,
2026-04-06,21:29,cs2,"sad cat",,,,,,,,
2026-04-06,21:29,cs2,"Waltuh",,,,,,,,
